id,created_by,created_date,last_modified_by,last_modified_date,is_active,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,age_median,male,female,married,family_size,income_household_median,income_household_six_figure,home_ownership,home_value,rent_median,education_college_or_above,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple
1,,2022-04-26 17:10:40.478055,,2022-04-26 17:10:40.478055,1,00501,40.8131,-73.0464,Holtsville,NY,New York,0,11742,,,36103,Suffolk,"{""36103"": 100}",Suffolk,36103,0,0,America/New_York,,,,,,,,,,,,,,,,,,,,
2,,2022-04-26 17:10:40.616263,,2022-04-26 17:10:40.616263,1,00544,40.8132,-73.0493,Holtsville,NY,New York,0,11742,,,36103,Suffolk,"{""36103"": 100}",Suffolk,36103,0,0,America/New_York,,,,,,,,,,,,,,,,,,,,
3,,2022-04-26 17:10:40.618787,,2022-04-26 17:10:40.618787,1,00601,18.18,-66.7522,Adjuntas,PR,Puerto Rico,1,,17113,102.7,72001,Adjuntas,"{""72001"": ""99.43"", ""72141"": ""0.57""}",Adjuntas|Utuado,72001|72141,0,0,America/Puerto_Rico,41.9,49.9,50.1,38.1,3.71,14361,1.3,59.6,81477,383,16.4,40.2,35,73.7,1.1,0,0.2,0,23.6,1.4
4,,2022-04-26 17:10:40.620182,,2022-04-26 17:10:40.620182,1,00602,18.3607,-67.1752,Aguada,PR,Puerto Rico,1,,37751,476,72003,Aguada,"{""72003"": ""100""}",Aguada,72003,0,0,America/Puerto_Rico,42.9,49,51,40.8,3.51,16807,3,74.8,90989,400,20.3,39.7,11.3,85.2,2.4,0,0.1,0,3.2,9.1
5,,2022-04-26 17:10:40.622481,,2022-04-26 17:10:40.622481,1,00603,18.4544,-67.122,Aguadilla,PR,Puerto Rico,1,,47081,574.9,72005,Aguadilla,"{""72005"": ""100""}",Aguadilla,72005,0,0,America/Puerto_Rico,42.1,49.1,50.9,38.4,2.87,16049,3.2,57.8,114577,433,23,39.1,21,79.4,3.2,0.2,0.1,0,15.6,1.4
6,,2022-04-26 17:10:40.625220,,2022-04-26 17:10:40.625220,1,00604,18.5053,-67.1359,Aguadilla,PR,Puerto Rico,0,00603,,,72005,Aguadilla,"{""72005"": 100}",Aguadilla,72005,0,0,America/Puerto_Rico,,,,,,,,,,,,,,,,,,,,
7,,2022-04-26 17:10:40.626601,,2022-04-26 17:10:40.626601,1,00605,18.4361,-67.1514,Aguadilla,PR,Puerto Rico,0,00602,,,72005,Aguadilla,"{""72005"": 100}",Aguadilla,72005,0,0,America/Puerto_Rico,,,,,,,,,,,,,,,,,,,,
8,,2022-04-26 17:10:40.629091,,2022-04-26 17:10:40.629091,1,00606,18.1672,-66.9383,Maricao,PR,Puerto Rico,1,,6392,58.3,72093,Maricao,"{""72093"": ""94.88"", ""72153"": ""3.78"", ""72121"": ""1.35""}",Maricao|Yauco|Sabana Grande,72093|72153|72121,0,0,America/Puerto_Rico,44.3,50.1,49.9,27.5,3.94,12119,0,75.5,78562,275,7.6,26,12,45.5,1.4,0,0.3,0,51.6,1.2
9,,2022-04-26 17:10:40.631301,,2022-04-26 17:10:40.631301,1,00610,18.2903,-67.1224,Anasco,PR,Puerto Rico,1,,26686,286.9,72011,AÃƒÂ±asco,"{""72011"": ""99.45"", ""72003"": ""0.55""}",AÃƒÂ±asco|Aguada,72011|72003,0,0,America/Puerto_Rico,42.7,48.4,51.6,39.3,3.72,19898,3.1,76.8,89690,427,18.6,41.3,11.1,82.6,1.7,0,0,0,7.9,7.8
10,,2022-04-26 17:10:40.636209,,2022-04-26 17:10:40.636209,1,00611,18.2877,-66.7976,Angeles,PR,Puerto Rico,0,00641,,,72141,Utuado,"{""72141"": 100}",Utuado,72141,0,0,America/Puerto_Rico,,,,,,,,,,,,,,,,,,,,
